germplasmName,BLUE,SE,n
SD21B007-4,5103.77091549678,515.571683455433,2
SD21B008-1,5037.03091549679,515.571683455433,2
SD21B016-13,4914.83591549679,515.571683455433,2
SD21B016-6,4254.98091549679,515.571683455433,2
SD21B021-2,5342.96591549679,515.571683455433,2
SD21B024-1,4623.25591549679,515.571683455433,2
SD21B024-5,4666.00091549679,515.571683455433,2
SD21B031-10,4420.20591549679,515.571683455433,2
SD21B032-7,4974.34091549679,515.571683455433,2
SD21B033-2,4770.70091549679,515.571683455433,2
SD21B036-9,4766.78091549679,515.571683455433,2
SD21B042-2,4960.02091549679,515.571683455433,2
SD21B043-2,4701.08591549679,515.571683455433,2
SD21B046-2,4495.63091549679,515.571683455433,2
SD21B046-4,4794.49591549679,515.571683455433,2
SD21B046-6,5542.99591549679,515.571683455433,2
SD21B049-5,4975.92091549679,515.571683455433,2
SD21B051-1,5036.77091549679,515.571683455433,2
SD21B051-6,4715.21091549679,515.571683455433,2
SD21B052-1,5281.74591549679,515.571683455433,2
SD21B054-2,4973.91091549679,515.571683455433,2
SD21B056-6,5081.38091549679,515.571683455433,2
SD21B061-7,4902.97091549678,515.571683455433,2
SD21B062-2,4678.60091549679,515.571683455433,2
SD21B062-5,5130.14591549679,515.571683455433,2
SD21B073-3,5357.54091549679,515.571683455433,2
SD21B077-3,4529.72591549679,515.571683455433,2
SD21B079-3,5291.19091549679,515.571683455433,2
SD21B081-1,4706.06091549679,515.571683455433,2
SD21B086-2,4329.30091549679,515.571683455433,2
SD21B089-3,5038.64091549679,515.571683455433,2
SD21B091-8,4010.07591549679,515.571683455433,2
SD21B094-7,4225.30091549679,515.571683455433,2
SD21B102-2,4667.12091549679,515.571683455433,2
SD21B102-4,4598.68591549679,515.571683455433,2
SD21B102-5,4807.25591549679,515.571683455433,2
SD21B105-1,4584.07591549679,515.571683455433,2
SD21B106-3,4784.64591549679,515.571683455433,2
SD21B110-1,4628.48591549679,515.571683455433,2
SD21B112-1,4619.97091549679,515.571683455433,2
SD21B113-1,4235.21591549679,515.571683455433,2
SD21B113-2,4521.74591549679,515.571683455433,2
SD21B113-3,4311.63091549679,515.571683455433,2
SD21B117-3,4566.25591549679,515.571683455433,2
SD21B125-3,4969.72091549679,515.571683455433,2
SD21B125-4,4775.97591549679,515.571683455433,2
SD21B130-3,4754.69091549679,515.571683455433,2
SD21B130-5,3981.78091549679,515.571683455433,2
SD21B154-1,4533.21091549679,515.571683455433,2
SD21B154-8,4331.67091549679,515.571683455433,2
SD21B158-3,4772.06591549679,515.571683455433,2
SD21C005-6,4873.36591549679,515.571683455433,2
SD21C006-3,5323.36591549679,515.571683455433,2
SD21C009-1,4481.59091549679,515.571683455433,2
SD21C010-3,4346.67091549679,515.571683455433,2
SD21C012-1,4710.54591549679,515.571683455433,2
SD21C012-2,4477.24091549679,515.571683455433,2
SD21C012-4,4957.00591549679,515.571683455433,2
SD21C013-1,4449.84591549679,515.571683455433,2
SD21C019-2,4779.96591549679,515.571683455433,2
SD21C023-2,4723.53591549679,515.571683455433,2
SD21C026-2,4845.68591549679,515.571683455433,2
SD21C032-1,4601.15091549679,515.571683455433,2
SD21C033-1,5527.92591549679,515.571683455433,2
SD21C048-2,5444.63091549679,515.571683455433,2
SD21C052-2,5087.34091549679,515.571683455433,2
SD21C054-3,4533.93591549679,515.571683455433,2
SD21C063-2,4856.71091549679,515.571683455433,2
SD21C068-1,5499.26591549679,515.571683455433,2
SD21C070-3,5224.68091549679,515.571683455433,2
SD21C078-3,5828.74591549679,515.571683455433,2
SD21D001-5,4037.36091549679,515.571683455433,2
SD21D005-2,4798.98591549679,515.571683455433,2
SD21D017-3,4143.78591549679,515.571683455433,2
SD21D022-4,4655.56591549679,515.571683455433,2
SD21D024-3,4689.55091549679,515.571683455433,2
SD21D025-3,4876.49591549679,515.571683455433,2
SD21D026-4,5033.55591549679,515.571683455433,2
SD21D027-1,4519.71591549679,515.571683455433,2
SD21D030-3,4671.68591549679,515.571683455433,2
SD21D030-4,3928.95591549679,515.571683455433,2
SD21D030-6,4870.68091549679,515.571683455433,2
SD21D032-3,4409.06591549679,515.571683455433,2
SD21D032-5,5127.53591549679,515.571683455433,2
SD21D032-7,4524.28091549679,515.571683455433,2
SD21D033-3,4154.40591549679,515.571683455433,2
SD21D033-4,4158.03091549679,515.571683455433,2
SD21D034-2,4590.93091549679,515.571683455433,2
SD21D052-2,4503.74591549679,515.571683455433,2
SD21D055-1,4875.56091549679,515.571683455433,2
SD21D055-2,4225.88091549679,515.571683455433,2
SD21D057-1,4609.06591549679,515.571683455433,2
SD21D072-2,4531.34091549679,515.571683455433,2
SD21D078-1,5157.12091549679,515.571683455433,2
SD21D093-1,4726.32591549679,515.571683455433,2
SD21D093-2,4427.48091549679,515.571683455433,2
SD21D093-4,4564.56091549679,515.571683455433,2
SD21D097-5,4680.76591549679,515.571683455433,2
SD21D099-3,5069.86091549679,515.571683455433,2
SD21D107-1,5243.71091549679,515.571683455433,2
SD21D108-5,4831.18091549679,515.571683455433,2
SD21D110-6,5075.19091549679,515.571683455433,2
SD21D112-1,5095.82591549679,515.571683455433,2
SD21D112-11,4712.78591549679,515.571683455433,2
SD21D112-9,4992.99591549679,515.571683455433,2
SD21D113-7,5408.16591549679,515.571683455433,2
SD21D121-1,5289.01091549679,515.571683455433,2
SD21D121-2,5023.70591549679,515.571683455433,2
SD21D121-8,5480.69091549679,515.571683455433,2
SD21D123-7,5396.27591549679,515.571683455433,2
SD21D126-5,5160.25091549679,515.571683455433,2
SD21D127-4,4668.35591549679,515.571683455433,2
SY_MONUMENT,4715.12118309939,350.996358317726,5
SY_WOLVERINE,4574.46197183229,431.038398243357,3
WINNER,4877.46272887423,296.862083151061,8
