observationUnitName,germplasmDbId,observationVariableDbId,germplasmName,value,observationDbId,collector,uploadedBy,studyDbId,observationVariableName,observationUnitDbId,observationTimeStamp
AHR1_HRW_2022_Davenport_PLOT30,1554780,84527,HRW13180-1-1-1-2,5226,4737451,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1570966,NA
AHR1_HRW_2022_Davenport_PLOT31,1559945,84527,WA 8303,5226,4872302,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1570968,NA
AHR1_HRW_2022_Davenport_PLOT32,1559105,84527,LCS Jet,4958,4795876,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1570991,NA
AHR1_HRW_2022_Davenport_PLOT33,1554616,84527,HRW14011-B-B-1-3,5494,4894537,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1571008,NA
AHR1_HRW_2022_Davenport_PLOT34,1560351,84527,WA 8367,5762,4866604,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1570982,NA
AHR1_HRW_2022_Davenport_PLOT35,1554938,84527,HRW14082-B-B-1-8,5025,4726936,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1570995,NA
AHR1_HRW_2022_Davenport_PLOT36,232455,84527,KELDIN,5293,4810350,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1571018,NA
AHR1_HRW_2022_Davenport_PLOT37,1463570,84527,Farnum,4891,4790128,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1570984,NA
AHR1_HRW_2022_Davenport_PLOT38,1559948,84527,WA 8396,5427,4728165,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1571011,NA
AHR1_HRW_2022_Davenport_PLOT39,1560290,84527,WB-Arrowhead,5561,4832847,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1571017,NA
AHR1_HRW_2022_Davenport_PLOT4,1555597,84527,HRW15131-DH-7,4020,4698237,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1570969,NA
AHR1_HRW_2022_Davenport_PLOT40,1554337,84527,HRW12126-B-B-B-7L,4623,4697393,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1570961,NA
AHR1_HRW_2022_Davenport_PLOT41,1554685,84527,HRW14093-B-B-1-1,6231,4817746,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1571019,NA
AHR1_HRW_2022_Davenport_PLOT42,1560040,84527,WA 8309,5963,4707876,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1571001,NA
AHR1_HRW_2022_Davenport_PLOT43,1560534,84527,WA 8310,6365,4824358,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1570957,NA
AHR1_HRW_2022_Davenport_PLOT44,1555597,84527,HRW15131-DH-7,5293,4823393,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1571003,NA
AHR1_HRW_2022_Davenport_PLOT45,1554951,84527,HRW14015-DH-41,5628,4826405,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1570993,NA
AHR1_HRW_2022_Davenport_PLOT46,1560777,84527,WA 8338,5695,4790569,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1570954,NA
AHR1_HRW_2022_Davenport_PLOT47,1558822,84527,Scorpio,5360,4805748,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1570998,NA
AHR1_HRW_2022_Davenport_PLOT48,1554347,84527,HRTW15153-DH-12,5494,4877342,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1570992,NA
AHR1_HRW_2022_Davenport_PLOT49,1463570,84527,Farnum,5293,4751222,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1570960,NA
AHR1_HRW_2022_Davenport_PLOT5,1463570,84527,Farnum,4757,4838597,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1570987,NA
AHR1_HRW_2022_Davenport_PLOT50,1554685,84527,HRW14093-B-B-1-1,5963,4786824,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1570975,NA
AHR1_HRW_2022_Davenport_PLOT51,1558822,84527,Scorpio,5092,4794773,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1570953,NA
AHR1_HRW_2022_Davenport_PLOT52,1560351,84527,WA 8367,5293,4821102,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1570997,NA
AHR1_HRW_2022_Davenport_PLOT53,1559948,84527,WA 8396,5360,4762305,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1570980,NA
AHR1_HRW_2022_Davenport_PLOT54,1560534,84527,WA 8310,5829,4773911,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1570963,NA
AHR1_HRW_2022_Davenport_PLOT55,1560040,84527,WA 8309,5092,4725436,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1571002,NA
AHR1_HRW_2022_Davenport_PLOT56,1560290,84527,WB-Arrowhead,4757,4763987,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1570956,NA
AHR1_HRW_2022_Davenport_PLOT57,1554616,84527,HRW14011-B-B-1-3,5226,4732541,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1570964,NA
AHR1_HRW_2022_Davenport_PLOT58,1554938,84527,HRW14082-B-B-1-8,4154,4846837,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1570986,NA
AHR1_HRW_2022_Davenport_PLOT59,1554951,84527,HRW14015-DH-41,4757,4702071,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1571006,NA
AHR1_HRW_2022_Davenport_PLOT6,1560351,84527,WA 8367,4891,4785949,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1570948,NA
AHR1_HRW_2022_Davenport_PLOT60,1554337,84527,HRW12126-B-B-B-7L,3283,4876409,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1570970,NA
AHR1_HRW_2022_Davenport_PLOT61,1554037,84527,HRW13016-B-1-B-1,4221,4737705,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1571012,NA
AHR1_HRW_2022_Davenport_PLOT62,1560608,84527,WA 8318 CL+,4154,4708210,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1570965,NA
AHR1_HRW_2022_Davenport_PLOT63,232455,84527,KELDIN,3819,4732556,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1570978,NA
AHR1_HRW_2022_Davenport_PLOT64,1559105,84527,LCS Jet,4020,4851620,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1571014,NA
AHR1_HRW_2022_Davenport_PLOT65,1554347,84527,HRTW15153-DH-12,3216,4881911,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1570972,NA
AHR1_HRW_2022_Davenport_PLOT66,1554780,84527,HRW13180-1-1-1-2,3417,4833225,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1570976,NA
AHR1_HRW_2022_Davenport_PLOT67,1559945,84527,WA 8303,4355,4823847,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1571007,NA
AHR1_HRW_2022_Davenport_PLOT68,1560777,84527,WA 8338,3216,4875799,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1571016,NA
AHR1_HRW_2022_Davenport_PLOT69,1554757,84527,HRW14055-DH-24,3819,4774937,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1570958,NA
AHR1_HRW_2022_Davenport_PLOT7,1554616,84527,HRW14011-B-B-1-3,5226,4892431,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1570977,NA
AHR1_HRW_2022_Davenport_PLOT70,1555597,84527,HRW15131-DH-7,2345,4892271,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1571004,NA
AHR1_HRW_2022_Davenport_PLOT71,1559386,84527,Sequoia,2144,4815244,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1570955,NA
AHR1_HRW_2022_Davenport_PLOT72,1555521,84527,HRW12133-B-B-B-2,1809,4740949,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1570971,NA
AHR1_HRW_2022_Davenport_PLOT8,1555521,84527,HRW12133-B-B-B-2,5561,4724294,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1571005,NA
AHR1_HRW_2022_Davenport_PLOT9,1560777,84527,WA 8338,4824,4824306,dwaring87,dwaring87,10701,Grain yield - kg/ha|CO_321:0001218,1570981,NA
AHR1_HRW_2023_Davenport_PLOT1,1563122,84527,HRW16054-DH-19,4690,5395873,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619629,NA
AHR1_HRW_2023_Davenport_PLOT10,1559948,84527,WA 8396,4154,5400287,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619626,NA
AHR1_HRW_2023_Davenport_PLOT11,1567673,84527,WA 8403,4154,5424029,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619656,NA
AHR1_HRW_2023_Davenport_PLOT12,1554063,84527,HRW16054-DH-11,4154,5412952,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619658,NA
AHR1_HRW_2023_Davenport_PLOT13,1559105,84527,LCS Jet,3953,5411787,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619664,NA
AHR1_HRW_2023_Davenport_PLOT14,1560777,84527,WA 8338,3618,5407246,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619670,NA
AHR1_HRW_2023_Davenport_PLOT15,1562953,84527,HRW15051-1-1-1-1,4355,5463361,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619622,NA
AHR1_HRW_2023_Davenport_PLOT16,1563523,84527,HRW16092-DH-4,4757,5415045,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619630,NA
AHR1_HRW_2023_Davenport_PLOT17,1560351,84527,WA 8367,4154,5435839,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619672,NA
AHR1_HRW_2023_Davenport_PLOT18,1562989,84527,HRW15240-1-1-1-5,4556,5421052,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619635,NA
AHR1_HRW_2023_Davenport_PLOT19,1562902,84527,HRW16054-DH-9,4690,5458026,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619609,NA
AHR1_HRW_2023_Davenport_PLOT2,1567379,84527,WA 8423,4824,5404839,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619615,NA
AHR1_HRW_2023_Davenport_PLOT20,1558822,84527,Scorpio,4355,5458877,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619673,NA
AHR1_HRW_2023_Davenport_PLOT21,1563991,84527,Glee/2013w178 F5-H2,4489,5390356,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619667,NA
AHR1_HRW_2023_Davenport_PLOT22,1567720,84527,WA 8422,4690,5467080,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619649,NA
AHR1_HRW_2023_Davenport_PLOT23,1563123,84527,HRW14196-B-12-1-1,3283,5414291,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619659,NA
AHR1_HRW_2023_Davenport_PLOT24,1566378,84527,SY Clearstone CL2,3953,5439802,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619628,NA
AHR1_HRW_2023_Davenport_PLOT25,1562989,84527,HRW15240-1-1-1-5,4824,5397836,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619624,NA
AHR1_HRW_2023_Davenport_PLOT26,1563991,84527,Glee/2013w178 F5-H2,4824,5402396,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619647,NA
AHR1_HRW_2023_Davenport_PLOT27,1567673,84527,WA 8403,4757,5408313,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619617,NA
AHR1_HRW_2023_Davenport_PLOT28,1559948,84527,WA 8396,4288,5408114,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619641,NA
AHR1_HRW_2023_Davenport_PLOT29,1563102,84527,HRW14206-B-19-1-1,3953,5445289,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619637,NA
AHR1_HRW_2023_Davenport_PLOT3,1554616,84527,HRW14011-B-B-1-3,3484,5446146,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619645,NA
AHR1_HRW_2023_Davenport_PLOT30,1560777,84527,WA 8338,4958,5394616,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619650,NA
AHR1_HRW_2023_Davenport_PLOT31,1554616,84527,HRW14011-B-B-1-3,5494,5425079,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619669,NA
AHR1_HRW_2023_Davenport_PLOT32,1559386,84527,Sequoia,4757,5407400,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619665,NA
AHR1_HRW_2023_Davenport_PLOT33,1563123,84527,HRW14196-B-12-1-1,2613,5418813,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619607,NA
AHR1_HRW_2023_Davenport_PLOT34,1567720,84527,WA 8422,4556,5430632,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619638,NA
AHR1_HRW_2023_Davenport_PLOT35,1563523,84527,HRW16092-DH-4,6030,5476366,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619661,NA
AHR1_HRW_2023_Davenport_PLOT36,1563514,84527,HRW15240-1-1-1-3,4690,5395124,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619632,NA
AHR1_HRW_2023_Davenport_PLOT37,1562953,84527,HRW15051-1-1-1-1,3484,5405883,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619625,NA
AHR1_HRW_2023_Davenport_PLOT38,1558822,84527,Scorpio,3551,5478033,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619623,NA
AHR1_HRW_2023_Davenport_PLOT39,1560351,84527,WA 8367,3484,5404908,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619660,NA
AHR1_HRW_2023_Davenport_PLOT4,1555049,84527,HRW15240-1-1-1-4,4221,5465004,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619662,NA
AHR1_HRW_2023_Davenport_PLOT40,1554063,84527,HRW16054-DH-11,3417,5440271,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619653,NA
AHR1_HRW_2023_Davenport_PLOT41,1559105,84527,LCS Jet,4288,5392449,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619652,NA
AHR1_HRW_2023_Davenport_PLOT42,1563122,84527,HRW16054-DH-19,3149,5455188,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619666,NA
AHR1_HRW_2023_Davenport_PLOT43,1562636,84527,Gemini,4623,5386268,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619654,NA
AHR1_HRW_2023_Davenport_PLOT44,1555049,84527,HRW15240-1-1-1-4,4221,5464282,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619613,NA
AHR1_HRW_2023_Davenport_PLOT45,1567379,84527,WA 8423,5293,5422038,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619651,NA
AHR1_HRW_2023_Davenport_PLOT46,1562902,84527,HRW16054-DH-9,4556,5453555,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619677,NA
AHR1_HRW_2023_Davenport_PLOT47,1566378,84527,SY Clearstone CL2,4489,5424052,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619668,NA
AHR1_HRW_2023_Davenport_PLOT48,232455,84527,KELDIN,4556,5432954,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619611,NA
AHR1_HRW_2023_Davenport_PLOT49,1562636,84527,Gemini,6030,5471225,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619616,NA
AHR1_HRW_2023_Davenport_PLOT5,1559386,84527,Sequoia,3350,5478458,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619636,NA
AHR1_HRW_2023_Davenport_PLOT50,1560777,84527,WA 8338,5695,5426864,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619627,NA
AHR1_HRW_2023_Davenport_PLOT51,1559386,84527,Sequoia,4489,5460571,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619657,NA
AHR1_HRW_2023_Davenport_PLOT52,232455,84527,KELDIN,4623,5395518,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619663,NA
AHR1_HRW_2023_Davenport_PLOT53,1567673,84527,WA 8403,6566,5479456,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619642,NA
AHR1_HRW_2023_Davenport_PLOT54,1558822,84527,Scorpio,6030,5478391,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619674,NA
AHR1_HRW_2023_Davenport_PLOT55,1554063,84527,HRW16054-DH-11,3484,5420977,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619648,NA
AHR1_HRW_2023_Davenport_PLOT56,1567379,84527,WA 8423,5628,5442370,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619646,NA
AHR1_HRW_2023_Davenport_PLOT57,1563123,84527,HRW14196-B-12-1-1,2881,5472395,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619634,NA
AHR1_HRW_2023_Davenport_PLOT58,1559948,84527,WA 8396,4154,5392162,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619640,NA
AHR1_HRW_2023_Davenport_PLOT59,1563122,84527,HRW16054-DH-19,4020,5401677,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619612,NA
AHR1_HRW_2023_Davenport_PLOT6,1563102,84527,HRW14206-B-19-1-1,2010,5438538,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619620,NA
AHR1_HRW_2023_Davenport_PLOT60,1563991,84527,Glee/2013w178 F5-H2,3752,5395128,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619619,NA
AHR1_HRW_2023_Davenport_PLOT61,1562902,84527,HRW16054-DH-9,4355,5405030,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619631,NA
AHR1_HRW_2023_Davenport_PLOT62,1563514,84527,HRW15240-1-1-1-3,5226,5452257,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619675,NA
AHR1_HRW_2023_Davenport_PLOT63,1555049,84527,HRW15240-1-1-1-4,4690,5441350,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619643,NA
AHR1_HRW_2023_Davenport_PLOT64,1559105,84527,LCS Jet,4623,5385337,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619618,NA
AHR1_HRW_2023_Davenport_PLOT65,1563102,84527,HRW14206-B-19-1-1,2881,5444322,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619608,NA
AHR1_HRW_2023_Davenport_PLOT66,1560351,84527,WA 8367,4087,5452452,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619671,NA
AHR1_HRW_2023_Davenport_PLOT67,1554616,84527,HRW14011-B-B-1-3,4288,5423821,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619676,NA
AHR1_HRW_2023_Davenport_PLOT68,1566378,84527,SY Clearstone CL2,3149,5405527,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619644,NA
AHR1_HRW_2023_Davenport_PLOT69,1563523,84527,HRW16092-DH-4,6164,5476759,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619655,NA
AHR1_HRW_2023_Davenport_PLOT7,1563514,84527,HRW15240-1-1-1-3,3953,5402680,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619621,NA
AHR1_HRW_2023_Davenport_PLOT70,1567720,84527,WA 8422,4824,5430836,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619633,NA
AHR1_HRW_2023_Davenport_PLOT71,1562989,84527,HRW15240-1-1-1-5,4891,5428287,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619678,NA
AHR1_HRW_2023_Davenport_PLOT72,1562953,84527,HRW15051-1-1-1-1,4489,5421609,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619639,NA
AHR1_HRW_2023_Davenport_PLOT8,232455,84527,KELDIN,3819,5407683,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619614,NA
AHR1_HRW_2023_Davenport_PLOT9,1562636,84527,Gemini,4288,5406847,dwaring87,dwaring87,10845,Grain yield - kg/ha|CO_321:0001218,1619610,NA
AHR1_HRW_2023_Lind_PLOT1,1563122,84527,HRW16054-DH-19,2814,5406180,dwaring87,dwaring87,10862,Grain yield - kg/ha|CO_321:0001218,1622822,NA
AHR1_HRW_2023_Lind_PLOT10,1559948,84527,WA 8396,2144,5460112,dwaring87,dwaring87,10862,Grain yield - kg/ha|CO_321:0001218,1622785,NA
AHR1_HRW_2023_Lind_PLOT11,1567673,84527,WA 8403,2613,5414682,dwaring87,dwaring87,10862,Grain yield - kg/ha|CO_321:0001218,1622827,NA
AHR1_HRW_2023_Lind_PLOT12,1554063,84527,HRW16054-DH-11,3015,5417672,dwaring87,dwaring87,10862,Grain yield - kg/ha|CO_321:0001218,1622829,NA
AHR1_HRW_2023_Lind_PLOT13,1559105,84527,LCS Jet,2144,5462169,dwaring87,dwaring87,10862,Grain yield - kg/ha|CO_321:0001218,1622813,NA
AHR1_HRW_2023_Lind_PLOT14,1560777,84527,WA 8338,2613,5405458,dwaring87,dwaring87,10862,Grain yield - kg/ha|CO_321:0001218,1622763,NA
AHR1_HRW_2023_Lind_PLOT15,1562953,84527,HRW15051-1-1-1-1,2479,5387473,dwaring87,dwaring87,10862,Grain yield - kg/ha|CO_321:0001218,1622823,NA
AHR1_HRW_2023_Lind_PLOT16,1563523,84527,HRW16092-DH-4,2613,5395822,dwaring87,dwaring87,10862,Grain yield - kg/ha|CO_321:0001218,1622768,NA
AHR1_HRW_2023_Lind_PLOT17,1560351,84527,WA 8367,2613,5389665,dwaring87,dwaring87,10862,Grain yield - kg/ha|CO_321:0001218,1622804,NA
AHR1_HRW_2023_Lind_PLOT18,1562989,84527,HRW15240-1-1-1-5,3216,5386735,dwaring87,dwaring87,10862,Grain yield - kg/ha|CO_321:0001218,1622806,NA
